"Year","Qtr","Region","Index","YrQtr","CV"
1977,1,3,7813895.73355,1977,0.245759612324802
1977,1,4,5042777.4292,1977,0.190608465839329
1977,1,5,5053585.143504,1977,0.392610436285936
1977,2,1,14374265.9711156,1977.25,0.588547604523278
1977,2,2,5681295.72157,1977.25,0.441403275396177
1977,2,3,8101870.54318454,1977.25,0.410388297609401
1977,2,4,5619026.2198,1977.25,0.200613706743029
1977,2,5,5086956.325374,1977.25,0.422167543713924
1977,3,1,15460764.1534997,1977.5,0.483781442035941
1977,3,2,5871547.53974,1977.5,0.456244628605785
1977,3,3,6930927.11237,1977.5,0.266211802868976
1977,3,4,4972489.788,1977.5,0.196886014945678
1977,3,5,4963430.0194637,1977.5,0.490499869231713
1977,4,1,23656528.946998,1977.75,0.433645093537376
1977,4,2,6284013.40248,1977.75,0.435946386909523
1977,4,3,7807478.12779,1977.75,0.234570242743442
1977,4,4,5884144.565,1977.75,0.209521239832338
1977,4,5,5756528.146598,1977.75,0.471623573414926
1978,1,1,17810036.0244111,1978,0.417378779252673
1978,1,2,4321019.79408,1978,0.390630017089685
1978,1,3,6898297.24388,1978,0.257355255419426
1978,1,4,7207976.0929,1978,0.193053200367429
1978,1,5,4634268.37379,1978,0.430798391638913
1978,2,1,13058262.4462866,1978.25,0.500793666707717
1978,2,2,5397447.64313,1978.25,0.409933091266043
1978,2,3,5654579.63627,1978.25,0.268010618647502
1978,2,4,4857868.12,1978.25,0.215682418112994
1978,2,5,5530620.167598,1978.25,0.455274932502302
1978,3,1,12619878.1243123,1978.5,0.516799220012661
1978,3,2,4594379.29811,1978.5,0.422213399891294
1978,3,3,5191729.99254,1978.5,0.242811869862479
1978,3,4,5625562.4443,1978.5,0.20150326178004
1978,3,5,5492186.40615,1978.5,0.444140855565423
1978,4,1,15325133.433535,1978.75,0.414071842199035
1978,4,2,4809754.35364,1978.75,0.401071206021703
1978,4,3,5490127.83234,1978.75,0.236574978061993
1978,4,4,5379819.8243,1978.75,0.211201129874067
1978,4,5,4568995.120016,1978.75,0.416014930731963
1979,1,1,13391875.0392462,1979,0.411718375966234
1979,1,2,4801306.19984,1979,0.426130997985513
1979,1,3,6432653.95417,1979,0.244109855249858
1979,1,4,4672934.8342,1979,0.211747152054169
1979,1,5,3969241.19292,1979,0.432265471510875
1979,2,1,10999870.6099188,1979.25,0.522120960588413
1979,2,2,4755030.68885,1979.25,0.425351042180388
1979,2,3,7593986.60992,1979.25,0.278154478118923
1979,2,4,6099345.4811,1979.25,0.205486394703846
1979,2,5,5946994.41998,1979.25,0.376343354978962
1979,3,1,12307633.0494441,1979.5,0.508502458034398
1979,3,2,4831390.73592,1979.5,0.437347968441317
1979,3,3,7341305.01805,1979.5,0.240722971149271
1979,3,4,6637498.1062,1979.5,0.192754107627184
1979,3,5,6509994.41506,1979.5,0.33877163434423
1979,4,1,15325950.2851901,1979.75,0.388076052359048
1979,4,2,5325669.60314,1979.75,0.393042980708368
1979,4,3,8040059.21262,1979.75,0.219059829414652
1979,4,4,5834459.2877,1979.75,0.196119420062494
1979,4,5,5611119.006622,1979.75,0.405248388295988
1980,1,1,12370560.738968,1980,0.416897088592631
1980,1,2,5375627.44422,1980,0.366308849008838
1980,1,3,6942112.51928,1980,0.208457413074581
1980,1,4,4544888.09,1980,0.182492965673449
1980,1,5,5958007.651725,1980,0.386445450080063
1980,2,1,12212013.4738856,1980.25,0.494607848905076
1980,2,2,4067008.1196068,1980.25,0.489154496245218
1980,2,3,6282604.09919,1980.25,0.213977645391938
1980,2,4,4789595.1179,1980.25,0.203269570863848
1980,2,5,6009567.961203,1980.25,0.349939694139311
1980,3,1,11132978.625069,1980.5,0.494776904424551
1980,3,2,3590058.29408,1980.5,0.464645836239089
1980,3,3,4518625.09692,1980.5,0.225770364637589
1980,3,4,3549132.4316,1980.5,0.191445093309352
1980,3,5,6769125.766416,1980.5,0.365638327397816
1980,4,1,11009733.7634356,1980.75,0.418042803185994
1980,4,2,4065881.61134,1980.75,0.361919969659057
1980,4,3,3988114.26189,1980.75,0.207037362264109
1980,4,4,3729023.4853,1980.75,0.188046504801401
1980,4,5,5064712.534185,1980.75,0.373817274419379
1981,1,1,10610296.6424386,1981,0.432548962262112
1981,1,2,4498673.18632,1981,0.366515584465479
1981,1,3,5247908.49522,1981,0.215746603028491
1981,1,4,3296819.3101,1981,0.218513107901222
1981,1,5,4006922.505703,1981,0.347230437356972
1981,2,1,8616318.69712864,1981.25,0.556556272227477
1981,2,2,3610138.31351,1981.25,0.439545693288401
1981,2,3,4568724.06707,1981.25,0.213631694501133
1981,2,4,4176616.1309,1981.25,0.231097970110246
1981,2,5,4305324.81371,1981.25,0.374612936819844
1981,3,1,11176082.0272995,1981.5,0.452032693976903
1981,3,2,2977568.25388,1981.5,0.423998485763422
1981,3,3,3922341.05817,1981.5,0.243858376973152
1981,3,4,3488818.21112,1981.5,0.26979881970566
1981,3,5,4767765.25132132,1981.5,0.398014405802673
1981,4,1,13293998.7722549,1981.75,0.430085196898071
1981,4,2,3673396.48614,1981.75,0.405955841324462
1981,4,3,4256105.93749,1981.75,0.24873984959056
1981,4,4,3756741.8803,1981.75,0.221755161340858
1981,4,5,4825534.560236,1981.75,0.406325273105539
1982,1,1,11273828.6183236,1982,0.437976570151398
